title;type;price;range;brand;image
Opel Ampera-E 2017;BEV;Erhältlich ab 39.680 EUR;NEFZ-Reichweite (elekt.): 520 km;Opel;https://www.e-stations.de/img/cars/Opel/Ampera-E-1.jpg
Opel e-Corsa 2019;BEV;Erhältlich ab 29.900 EUR;NEFZ-Reichweite (elekt.): 330 km;Opel;https://www.e-stations.de/img/cars/Opel/204-e-Corsa-1.jpg
Opel Grandland XHybrid4 SUV 2019;PHEV;Erhältlich ab 50.000 EUR;NEFZ-Reichweite (elekt.): 50 km;Opel;https://www.e-stations.de/img/cars/Opel/213-Grandland_XHybrid4-1.jpg
Opel Mokka-e 2020;BEV;Erhältlich ab 35.000 EUR;NEFZ-Reichweite (elekt.): 322 km;Opel;https://www.e-stations.de/img/cars/Opel/234-Mokka-e-1.jpg
Peugeot e-2008;BEV;Erhältlich ab 35.250 EUR;Reichweite noch unbekannt;Peugeot;
Peugeot e-208 2019;BEV;Erhältlich ab 30.450 EUR;NEFZ-Reichweite (elekt.): 340 km;Peugeot;
Peugeot e-Legend Concept 2019;BEV;;Reichweite noch unbekannt;Peugeot;https://www.e-stations.de/img/cars/Peugeot/e-Legend-1.jpg
Peugeot iOn 2010;BEV;Erhältlich ab 17.850 EUR;Reichweite noch unbekannt;Peugeot;https://www.e-stations.de/img/cars/Peugeot/iOn.jpg
Peugeot Partner Tepee 2017;BEV;Erhältlich ab 20.800 EUR;NEFZ-Reichweite (elekt.): 170 km;Peugeot;
Peugeot Partner L1 2014;BEV;Erhältlich ab 31.059 EUR;NEFZ-Reichweite (elekt.): 170 km;Peugeot;https://www.e-stations.de/img/cars/Peugeot/peugeot-partner-electric.jpg
Polestar Polestar 1 Basisversion 2020;PHEV;Erhältlich ab 151.092 EUR;NEFZ-Reichweite (elekt.): 150 km;Polestar;
Polestar Polestar 2 2020;BEV;Erhältlich ab 53.540 EUR;NEFZ-Reichweite (elekt.): 470 km;Polestar;
Porsche 918 Spyder 2013;PHEV;Erhältlich ab 768.026 EUR;NEFZ-Reichweite (elekt.): 25 km;Porsche;https://www.e-stations.de/img/cars/Porsche/Porsche-918-1.JPG
Porsche Cayenne S E-Hybrid 2014;PHEV;Erhältlich ab 82.920 EUR;NEFZ-Reichweite (elekt.): 36 km;Porsche;https://www.e-stations.de/img/cars/Porsche/cayenne1.jpg
Porsche Mission E 2015;BEV;;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://www.e-stations.de/img/cars/Porsche/Mission-E-1.jpg
Porsche Panamera S E-Hybrid 2013;PHEV;Erhältlich ab 104.340 EUR;NEFZ-Reichweite (elekt.): 36 km;Porsche;https://www.e-stations.de/img/cars/Porsche/panamera.jpg
Porsche Taycan 4S 2019;BEV;Erhältlich ab 105.607 EUR;NEFZ-Reichweite (elekt.): 412 km;Porsche;https://www.e-stations.de/img/cars/Porsche/191-Taycan-1.jpg
Porsche Taycan Cross Turismo 2019;BEV;Erhältlich ab 152.000 EUR;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://www.e-stations.de/img/cars/Porsche/Taycan-1.jpg
Porsche Taycan Turbo 2019;BEV;Erhältlich ab 152.136 EUR;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://ev-database.de/pkw/1116/Porsche-Taycan-Turbo-S
Porsche Taycan Turbo S 2019;BEV;Erhältlich ab 185.456 EUR;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://ev-database.de/pkw/1116/Porsche-Taycan-Turbo-S
QUANT e-Sportlimousine 2014;BEV;;NEFZ-Reichweite (elekt.): 600 km;QUANT;https://www.e-stations.de/img/cars/QUANT/quant.jpg
Renault Fluence Expression 2012;BEV;Erhältlich ab 25.690 EUR;NEFZ-Reichweite (elekt.): 185 km;Renault;https://www.e-stations.de/img/cars/Renault/Fluence-1.JPG
Renault Kangoo Maxi 2017;BEV;Erhältlich ab 31.120 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 270 km;Renault;
Renault Kangoo 2017;BEV;Erhältlich ab 29.920 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 270 km;Renault;
Renault Kangoo 2011;BEV;Erhältlich ab 23.800 EUR;Reichweite noch unbekannt;Renault;https://www.e-stations.de/img/cars/Renault/Kangoo-1.JPG
Renault Kangoo Maxi 2011;BEV;Erhältlich ab 26.180 EUR;Reichweite noch unbekannt;Renault;https://www.e-stations.de/img/cars/Renault/Kangoo-Maxi-1.JPG
Renault MASTER Z.E. Basisversion 2018;BEV;Erhältlich ab 59.900 EUR;NEFZ-Reichweite (elekt.): 200 km;Renault;https://www.e-stations.de/img/cars/Renault/184-MASTER%20Z.E.-1.jpg
Renault Twingo Z.E. 2020;BEV;Erhältlich ab 21.500 EUR;NEFZ-Reichweite (elekt.): 180 km;Renault;
Renault Twizy Urban 2011;BEV;Erhältlich ab 7.690 EUR;NEFZ-Reichweite (elekt.): 100 km;Renault;https://www.e-stations.de/img/cars/Renault/Twizy-1.JPG
Renault Twizy Cargo Life 2013;BEV;Erhältlich ab 8.680 EUR;Reichweite noch unbekannt;Renault;https://www.e-stations.de/img/cars/Renault/twizycargo.jpg
Renault ZOE R240 Life 2012;BEV;Erhältlich ab 21.700 EUR;NEFZ-Reichweite (elekt.): 210 km;Renault;https://www.e-stations.de/img/cars/Renault/zoe.jpg
Renault ZOE Life R110 Z.E. 40;BEV;Erhältlich ab 21.900 EUR;NEFZ-Reichweite (elekt.): 316 km;Renault;
Renault ZOE Life R110 Z.E. 50;BEV;Erhältlich ab 23.900 EUR;NEFZ-Reichweite (elekt.): 395 km;Renault;
Renault ZOE EXPERIENCE R110 Z.E. 50;BEV;Erhältlich ab 24.900 EUR;NEFZ-Reichweite (elekt.): 395 km;Renault;
Renault ZOE EXPERIENCE R135 Z.E. 50;BEV;Erhältlich ab 25.900 EUR;NEFZ-Reichweite (elekt.): 386 km;Renault;
Renault ZOE INTENS R135 Z.E. 50;BEV;Erhältlich ab 27.900 EUR;NEFZ-Reichweite (elekt.): 386 km;Renault;
Renault ZOE R90 Life 2015;BEV;Erhältlich ab 21.500 EUR;NEFZ-Reichweite (elekt.): 240 km;Renault;https://www.e-stations.de/img/cars/Renault/zoe.jpg
Renault ZOE Q90 Life 2016;BEV;Erhältlich ab 32.900 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 400 km;Renault;https://www.e-stations.de/img/cars/Renault/ZOE-1.jpg
Rimac Concept_One 2014;BEV;;NEFZ-Reichweite (elekt.): 500 km;Rimac;https://www.e-stations.de/img/cars/Rimac/Rimac-1.JPG
Seat El Born 2020;BEV;Erhältlich ab 37.500 EUR;NEFZ-Reichweite (elekt.): 420 km;Seat;https://www.e-stations.de/img/cars/Seat/208-El_Born-1.jpg
Seat Mii electric 2019;BEV;Erhältlich ab 20.650 EUR;NEFZ-Reichweite (elekt.): 353 km;Seat;https://www.e-stations.de/img/cars/Seat/eMii-1.jpg
Skoda Enyaq iV 60 2021;BEV;Erhältlich ab 38.850 EUR;NEFZ-Reichweite (elekt.): 390 km;Skoda;
Skoda Superb iV 2019;PHEV;Erhältlich ab 41.590 EUR;NEFZ-Reichweite (elekt.): 55 km;Skoda;
SKODA AUTO e-Citigo e iV 2019;PHEV;Erhältlich ab 41.590 EUR;NEFZ-Reichweite (elekt.): 265 km;SKODA;
Smart cabrio EQ 2016;BEV;Erhältlich ab 25.200 EUR;NEFZ-Reichweite (elekt.): 160 km;Smart;https://www.e-stations.de/img/cars/Smart/cabrio-1.jpg
Smart forfour EQ 2016;BEV;Erhältlich ab 22.600 EUR;NEFZ-Reichweite (elekt.): 155 km;Smart;https://www.e-stations.de/img/cars/Smart/forfour-1.jpg
Smart fortwo Coupé 2012;BEV;Erhältlich ab 18.910 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smarted.jpg
Smart fortwo Coupé 2012;BEV;Erhältlich ab 29.990 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smart-ed-BRABUS.jpg
Smart fortwo Cabrio 2012;BEV;Erhältlich ab 26.690 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smarted.jpg
Smart fortwo Coupé 2012;BEV;Erhältlich ab 23.680 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smarted.jpg
Smart fortwo Cabrio 2012;BEV;Erhältlich ab 33.080 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/brabus.jpg
Smart fortwo Cabrio 2012;BEV;Erhältlich ab 22.000 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;
Smart fortwo EQ 2016;BEV;Erhältlich ab 21.940 EUR;NEFZ-Reichweite (elekt.): 160 km;Smart;https://www.e-stations.de/img/cars/Smart/fortwo-1.jpg
Sono Motors GmbH Sion 2017;BEV;Erhältlich ab 25.500 EUR;NEFZ-Reichweite (elekt.): 255 km;Sono;https://www.e-stations.de/img/cars/Sono%20Motors%20GmbH/179-Sion-1.jpg
StreetScooter StreetScooter L Box 2016;BEV;Erhältlich ab 42.950 EUR;NEFZ-Reichweite (elekt.): 205 km;StreetScooter;https://www.e-stations.de/img/cars/StreetScooter/165-StreetScooter-1.JPG
StreetScooter StreetScooter Box 2016;BEV;Erhältlich ab 35.950 EUR;NEFZ-Reichweite (elekt.): 118 km;StreetScooter;https://www.e-stations.de/img/cars/StreetScooter/streetscooter.jpg
Tazzari Zero EM1 2009;BEV;vrs. Erhältlich ab 24.600 EUR;NEFZ-Reichweite (elekt.): 140 km;Tazzari;
Tazzari ZERO EM2 SPACE Basisversion 2018;BEV;vrs. Erhältlich ab 22.800 EUR;NEFZ-Reichweite (elekt.): 200 km;Tazzari;
Tesla Model 3 Maximale Reichweiter 2018;BEV;Erhältlich ab 54.800 EUR;NEFZ-Reichweite (elekt.): 560 km;Tesla;https://www.carwow.de/tesla/model-3
Tesla Model 3 Standard Plus 2018;BEV;Erhältlich ab 44.500 EUR;NEFZ-Reichweite (elekt.): 415 km;Tesla;https://www.carwow.de/tesla/model-3
Tesla Model 3 Dual Motor 2018;BEV;Erhältlich ab 64.600 EUR;NEFZ-Reichweite (elekt.): 530 km;Tesla;https://www.e-stations.de/img/cars/Tesla/Model%203-1.jpg
Tesla Model S 60 2012;BEV;Erhältlich ab 80.819 EUR;NEFZ-Reichweite (elekt.): 400 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S 85 2012;BEV;Erhältlich ab 87.400 EUR;NEFZ-Reichweite (elekt.): 502 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S P85 2012;BEV;Erhältlich ab 87.600 EUR;NEFZ-Reichweite (elekt.): 502 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S 75D 2015;BEV;Erhältlich ab 84.470 EUR;NEFZ-Reichweite (elekt.): 442 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S 85D 2015;BEV;Erhältlich ab 94.700 EUR;NEFZ-Reichweite (elekt.): 528 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S P85D 2015;BEV;Erhältlich ab 117.000 EUR;NEFZ-Reichweite (elekt.): 491 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S 75 2015;BEV;Erhältlich ab 68.970 EUR;NEFZ-Reichweite (elekt.): 420 km;Tesla;
Tesla Model S P100D 2016;BEV;Erhältlich ab 157.670 EUR;NEFZ-Reichweite (elekt.): 613 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model S 100D 2017;BEV;Erhältlich ab 109.920 EUR;NEFZ-Reichweite (elekt.): 632 km;Tesla;https://www.e-stations.de/img/cars/Tesla/models.jpg
Tesla Model X 90D 2015;BEV;Erhältlich ab 103.540 EUR;NEFZ-Reichweite (elekt.): 489 km;Tesla;https://www.e-stations.de/img/cars/Tesla/Model-X-1.jpg
Tesla Model X P90D 2015;BEV;Erhältlich ab 117.700 EUR;NEFZ-Reichweite (elekt.): 467 km;Tesla;https://www.e-stations.de/img/cars/Tesla/Model-X-1.jpg
Tesla Model X P100D 2015;BEV;Erhältlich ab 156.100 EUR;NEFZ-Reichweite (elekt.): 542 km;Tesla;https://www.e-stations.de/img/cars/Tesla/Model-X-1.jpg
Tesla Model Y 2021;BEV;Erhältlich ab 60.980 EUR;NEFZ-Reichweite (elekt.): 505 km;Tesla;https://www.e-stations.de/img/cars/Tesla/209-Model%20Y-1.jpg
Tesla Roadster 2 2019;BEV;;NEFZ-Reichweite (elekt.): 1000 km;Tesla;https://www.e-stations.de/img/cars/Tesla/Roadster-1.jpg
Thunder Power Sedan 2015;BEV;vrs. Erhältlich ab 65.000 EUR;NEFZ-Reichweite (elekt.): 650 km;Thunder;https://www.e-stations.de/img/cars/Thunder%20Power/Thunder-Power-Sedan-1.JPG
Toyota iQ EV 2014;BEV;Erhältlich ab 36.000 EUR;NEFZ-Reichweite (elekt.): 85 km;Toyota;https://www.e-stations.de/img/cars/Toyota/toyotaiqev.jpg
Toyota Mirai 2014;FCEV;Erhältlich ab 78.540 EUR;NEFZ-Reichweite (elekt.): 500 km;Toyota;https://www.e-stations.de/img/cars/Toyota/Mirai-1.JPG
Toyota Prius Plug-in Hybrid 2012;PHEV;Erhältlich ab 36.600 EUR;NEFZ-Reichweite (elekt.): 25 km;Toyota;https://www.e-stations.de/img/cars/Toyota/PriusPHEV-1.JPG
Toyota Prius Plug-In 2019;PHEV;;NEFZ-Reichweite (elekt.): 59 km;Toyota;
Toyota Proace Electric 50 kWh 2021;BEV;;NEFZ-Reichweite (elekt.): 221 km;Toyota;
Toyota Proace Electric 75 kWh 2021;BEV;;NEFZ-Reichweite (elekt.): 318 km;Toyota;
Toyota Proace Verso Electric 50 kWh 2021;BEV;;NEFZ-Reichweite (elekt.): 219 km;Toyota;
Toyota Proace Verso Electric 75 kWh 2021;BEV;;NEFZ-Reichweite (elekt.): 314 km;Toyota;
Toyota RAV4 Plug-In;PHEV;;NEFZ-Reichweite (elekt.): 98 km;Toyota;
Volkswagen ABT e-Transporter 2019;BEV;Erhältlich ab 44.990 EUR;NEFZ-Reichweite (elekt.): 138 km;Volkswagen;
Volkswagen BUDD-e Concept 2019;BEV;;NEFZ-Reichweite (elekt.): 533 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/BUDD-e-1.jpg
Volkswagen Crafter 2019;BEV;Erhältlich ab 69.500 EUR;NEFZ-Reichweite (elekt.): 173 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/207-Crafter-1.jpg
Volkswagen Cross Coupé GTE 2015;PHEV;;NEFZ-Reichweite (elekt.): 32 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/VW-Cross-Coupe.jpg
Volkswagen e-Golf 2014;BEV;Erhältlich ab 34.900 EUR;NEFZ-Reichweite (elekt.): 190 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/e-Golf-1.JPG
Volkswagen e-Golf 2017;BEV;Erhältlich ab 35.900 EUR;NEFZ-Reichweite (elekt.): 300 km;Volkswagen;https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.autozeitung.de%2Fassets%2Ffield%2Fimage%2Fvw-e-golf-2017-_2_.jpg&imgrefurl=https%3A%2F%2Fwww.autozeitung.de%2Fvw-e-golf-facelift-2017-preis-technische-daten-137544.html&tbnid=rSrDETM-arM2tM&vet=12ahUKEwiZyIDTsL_4AhUK-xoKHSzaBdUQMygAegUIARDWAQ..i&docid=st0t4eptapMewM&w=1200&h=722&q=e%20golf&ved=2ahUKEwiZyIDTsL_4AhUK-xoKHSzaBdUQMygAegUIARDWAQ
Volkswagen e-Up! 2012;BEV;Erhältlich ab 26.900 EUR;NEFZ-Reichweite (elekt.): 160 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/eUp-1.JPG
Volkswagen e-Up! 2014;BEV;Erhältlich ab 27.425 EUR;NEFZ-Reichweite (elekt.): 160 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/E-Load.jpg
Volkswagen Golf GTE 2014;PHEV;Erhältlich ab 36.900 EUR;NEFZ-Reichweite (elekt.): 50 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/Golf-GTE-1.JPG
Volkswagen I.D. 2018;BEV;Erhältlich ab 29.900 EUR;Reichweite noch unbekannt;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/182-I.D-1.jpg
Volkswagen I.D. BUZZ;BEV;;NEFZ-Reichweite (elekt.): 600 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/152-I.D.-1.jpg
Volkswagen I.D. CROZZ 2017;BEV;Erhältlich ab 32.500 EUR;NEFZ-Reichweite (elekt.): 500 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/180-I.D.%20CROZZ-1.jpg
Volkswagen I.D. VIZZION Basisversion 2018;BEV;Erhältlich ab 52.000 EUR;Reichweite noch unbekannt;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/181-I.D.%20VIZZION-1.jpg
Volkswagen ID. 3 2020;BEV;Erhältlich ab 29.900 EUR;NEFZ-Reichweite (elekt.): 330 km;Volkswagen;
Volkswagen ID. 3 2020;BEV;Erhältlich ab 45.995 EUR;NEFZ-Reichweite (elekt.): 420 km;Volkswagen;
Volkswagen ID. 3 2020;BEV;Erhältlich ab 49.995 EUR;NEFZ-Reichweite (elekt.): 550 km;Volkswagen;
Volkswagen ID.4 2020;BEV;Erhältlich ab 44.450 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 522 km;Volkswagen;
Volkswagen Passat Variant GTE 2014;PHEV;Erhältlich ab 45.250 EUR;NEFZ-Reichweite (elekt.): 50 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/Passat-1.jpg
Volkswagen Passat Limousine GTE 2014;PHEV;Erhältlich ab 44.250 EUR;NEFZ-Reichweite (elekt.): 50 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/passat.JPG
Volkswagen Tiguan GTE 2015;PHEV;;NEFZ-Reichweite (elekt.): 50 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/Tiguan-GTE-Concept-1.JPG
Volkswagen XL1 2014;PHEV;Erhältlich ab 111.000 EUR;NEFZ-Reichweite (elekt.): 50 km;Volkswagen;https://www.e-stations.de/img/cars/Volkswagen/xl1_fluegeltuere.jpg
Volvo 90 T8 TWIN ENGINE AWD 2017;PHEV;Erhältlich ab 72.800 EUR;Reichweite noch unbekannt;Volvo;https://www.e-stations.de/img/cars/Volvo/S90-1.jpg
Volvo 90 S90 T8 Twin Engine 2016;PHEV;Erhältlich ab 69.240 EUR;NEFZ-Reichweite (elekt.): 45 km;Volvo;
Volvo V60 D6 AWD 2014;PHEV;Erhältlich ab 56.200 EUR;NEFZ-Reichweite (elekt.): 50 km;Volvo;https://www.e-stations.de/img/cars/Volvo/v60.jpg
Volvo XC60 T8 Twin Engine 2018;PHEV;Erhältlich ab 41.400 EUR;NEFZ-Reichweite (elekt.): 50 km;Volvo;https://www.e-stations.de/img/cars/Volvo/v60.jpg
Volvo XC90 T8 Twin Engine 2014;PHEV;Erhältlich ab 76.705 EUR;NEFZ-Reichweite (elekt.): 43 km;Volvo;https://www.e-stations.de/img/cars/Volvo/xc90-1.JPG
